Census Tract,Median Income,Margin of Error,Median Income in Thousands
3.1,40707,12202,40.707
93.26,40646,23834,40.646
2.22,40453,11230,40.453
90.26,40429,5473,40.429
137,40293,9242,40.293
10.07,40285,4677,40.285
10.03,40072,10018,40.072
148,40068,12038,40.068
114.05,40027,21547,40.027
90.63,39943,9522,39.943
171.01,39549,16345,39.549
93.2,39432,16154,39.432
44.05,39411,8864,39.411
2.19,39375,9950,39.375
8.04,39182,7140,39.182
100.26,39096,7026,39.096
6.1,38980,14481,38.98
13.01,38762,12982,38.762
90.52,38750,23842,38.75
2.15,38566,9561,38.566
91.02,38393,8468,38.393
64.01,38243,11560,38.243
4.17,38155,15585,38.155
90.21,38088,6883,38.088
2.25,37971,13747,37.971
63.04,37965,9740,37.965
99.04,37849,5168,37.849
136,37644,4193,37.644
8.05,37616,6659,37.616
9.03,37553,8025,37.553
23,37527,8764,37.527
62.01,37372,10592,37.372
100.15,37363,10844,37.363
1.24,37357,9888,37.357
102.13,37273,13075,37.273
50.02,37270,12602,37.27
4.11,37028,7430,37.028
7.12,36866,9516,36.866
93.18,36838,28240,36.838
39.13,36828,9948,36.828
1.27,36798,9864,36.798
111.03,36789,5572,36.789
39.11,36771,7465,36.771
83.09,36711,4358,36.711
54.05,36667,11274,36.667
1.09,36621,12288,36.621
29,36585,5216,36.585
108.06,36463,8618,36.463
102.05,36455,12483,36.455
96.02,36411,17853,36.411
12.08,36396,26786,36.396
2.23,36224,4664,36.224
10.06,36193,19875,36.193
57.06,36096,9174,36.096
2.18,35857,7235,35.857
54.07,35833,11665,35.833
97.05,35754,9209,35.754
2.12,35547,5593,35.547
98.06,35536,18743,35.536
175,35526,13661,35.526
100.23,35500,7103,35.5
8.08,35407,9846,35.407
16.06,35317,9579,35.317
3.06,35309,4462,35.309
88.05,35156,12774,35.156
17.05,35114,12010,35.114
4.14,35091,6556,35.091
25.01,35024,7461,35.024
117.02,34883,8954,34.883
95.06,34780,9170,34.78
138.01,34773,29882,34.773
41.03,34750,9789,34.75
7.15,34702,9782,34.702
4.18,34610,6683,34.61
95.05,34583,6925,34.583
93.24,34554,18175,34.554
50.04,34537,7885,34.537
135,34385,6809,34.385
6.11,34347,11362,34.347
138.02,34135,18114,34.135
90.2,33980,6653,33.98
57.08,33766,7891,33.766
24.02,33563,8957,33.563
108.03,33418,18766,33.418
1.32,33411,12498,33.411
7.14,33261,10653,33.261
1.34,33097,11091,33.097
102.08,32993,8174,32.993
110.1,32674,2840,32.674
112.03,32582,16707,32.582
51.03,32552,9058,32.552
111.04,32500,19780,32.5
10.04,32411,4568,32.411
54.06,32363,22463,32.363
49.03,32353,16947,32.353
7.11,32316,5875,32.316
105.01,32246,8797,32.246
50.03,32213,28452,32.213
66.03,32018,25086,32.018
66.04,31735,7448,31.735
10.05,31722,10270,31.722
25.02,31615,8575,31.615
108.05,31593,1702,31.593
4.02,31515,12728,31.515
19.03,31439,11365,31.439
28,31319,4911,31.319
57.05,31222,11020,31.222
24.03,31020,8466,31.02
5.05,30925,4542,30.925
17.02,30911,4159,30.911
53.05,30840,15785,30.84
5.09,30813,27398,30.813
63.03,30755,5308,30.755
114.08,30717,4768,30.717
12.09,30677,7562,30.677
76.03,30625,9701,30.625
106.09,30463,3889,30.463
15.02,30436,6222,30.436
36.03,30383,17190,30.383
64.03,30277,8509,30.277
30.05,30274,10435,30.274
14.02,30230,12266,30.23
7.19,30221,15864,30.221
1.26,30212,11893,30.212
120.02,30203,5199,30.203
6.07,30000,6215,30
55.05,29935,9345,29.935
54.03,29811,9583,29.811
44.04,29722,12845,29.722
53.03,29710,5436,29.71
109,28886,2167,28.886
52.02,28679,6857,28.679
4.16,28409,12207,28.409
2.24,28380,4649,28.38
18.02,28109,5918,28.109
17.01,28075,6704,28.075
113.02,27934,6335,27.934
36.07,27800,11232,27.8
7.1,27795,5759,27.795
52.01,27645,7604,27.645
93.14,27500,4113,27.5
51.04,27171,4571,27.171
100.24,27108,4099,27.108
8.06,26932,10113,26.932
98.11,26825,3138,26.825
20.04,26763,8227,26.763
107.06,26522,10459,26.522
30.06,26484,12404,26.484
18.01,26250,19416,26.25
34,26142,5551,26.142
31,25900,7441,25.9
102.07,25759,4509,25.759
30.01,25608,12220,25.608
55.04,25500,17135,25.5
8.07,25382,6153,25.382
5.04,25247,7179,25.247
53.04,25074,2542,25.074
57.07,24965,10941,24.965
146.01,23882,7960,23.882
17.04,23700,11997,23.7
36.05,23330,2981,23.33
54.1,23295,8060,23.295
7.05,23111,8279,23.111
19.01,22645,2594,22.645
16.05,22212,9406,22.212
51.02,21997,6861,21.997
53.06,21646,11443,21.646
19.04,21563,2888,21.563
24.04,21554,9369,21.554
93.15,20843,7888,20.843
54.09,20813,4382,20.813
20.01,20557,2506,20.557
14.01,20461,1692,20.461
93.22,20378,10743,20.378
15.01,20154,6970,20.154
30.04,20091,7820,20.091
6.09,20000,4265,20
20.03,18525,2965,18.525
7.13,17364,16270,17.364
18.03,17265,5635,17.265
5.08,16635,6741,16.635
113.01,15605,9531,15.605
36.06,14079,6244,14.079
