State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,"Los Angeles County, CA",1289.10,79.9,79.6-81.6,1.2957
California,"Los Angeles County, CA",1310.10,86.9,81.7-97.5,2.9827
California,"Los Angeles County, CA",1310.20,79.1,77.6-79.5,1.4424
California,"Los Angeles County, CA",1311.00,80.8,79.6-81.6,1.5554
California,"Los Angeles County, CA",1312.00,80.9,79.6-81.6,1.6139
California,"Los Angeles County, CA",1313.00,82.9,81.7-97.5,2.8666
California,"Los Angeles County, CA",1314.00,82.5,81.7-97.5,1.8697
California,"Los Angeles County, CA",1316.00,83.3,81.7-97.5,2.1222
California,"Los Angeles County, CA",1317.01,80.1,79.6-81.6,1.7535
California,"Los Angeles County, CA",1317.02,85.8,81.7-97.5,3.1955
California,"Los Angeles County, CA",1318.00,80.5,79.6-81.6,1.5073
California,"Los Angeles County, CA",1319.00,82,81.7-97.5,2.8811
California,"Los Angeles County, CA",1320.01,80.3,79.6-81.6,1.7454
California,"Los Angeles County, CA",1320.02,81.3,79.6-81.6,1.3636
California,"Los Angeles County, CA",1321.01,80.4,79.6-81.6,1.6144
California,"Los Angeles County, CA",1321.02,80.8,79.6-81.6,2.1234
California,"Los Angeles County, CA",1323.00,82.5,81.7-97.5,2.4801
California,"Los Angeles County, CA",1325.01,79.5,77.6-79.5,1.1836
California,"Los Angeles County, CA",1325.02,79,77.6-79.5,1.6717
California,"Los Angeles County, CA",1327.00,84.8,81.7-97.5,3.1845
California,"Los Angeles County, CA",1329.00,82.1,81.7-97.5,1.6089
California,"Los Angeles County, CA",1330.00,81,79.6-81.6,2.3566
California,"Los Angeles County, CA",1331.00,82.4,81.7-97.5,1.252
California,"Los Angeles County, CA",1340.01,80.2,79.6-81.6,2.4615
California,"Los Angeles County, CA",1340.02,85.7,81.7-97.5,3.173
California,"Los Angeles County, CA",1341.01,84.6,81.7-97.5,1.8591
California,"Los Angeles County, CA",1341.03,81,79.6-81.6,2.0042
California,"Los Angeles County, CA",1341.04,79.6,79.6-81.6,1.881
California,"Los Angeles County, CA",1342.01,85.8,81.7-97.5,3.4313
California,"Los Angeles County, CA",1343.02,81.2,79.6-81.6,1.7116
California,"Los Angeles County, CA",1343.03,80.6,79.6-81.6,1.2585
California,"Los Angeles County, CA",1343.04,81.3,79.6-81.6,1.5529
California,"Los Angeles County, CA",1343.05,76.2,75.2-77.5,2.5015
California,"Los Angeles County, CA",1343.06,83,81.7-97.5,3.7182
California,"Los Angeles County, CA",1344.21,83.6,81.7-97.5,2.1116
California,"Los Angeles County, CA",1344.22,81.5,79.6-81.6,1.4226
California,"Los Angeles County, CA",1344.23,83.2,81.7-97.5,1.8556
California,"Los Angeles County, CA",1344.24,86.5,81.7-97.5,2.724
California,"Los Angeles County, CA",1345.20,81.1,79.6-81.6,2.3591
California,"Los Angeles County, CA",1345.21,,,
California,"Los Angeles County, CA",1345.22,75.9,75.2-77.5,2.5765
California,"Los Angeles County, CA",1347.10,77.4,75.2-77.5,1.4274
California,"Los Angeles County, CA",1347.20,78.4,77.6-79.5,1.2728
California,"Los Angeles County, CA",1348.00,82.3,81.7-97.5,1.7743
California,"Los Angeles County, CA",1349.01,82.7,81.7-97.5,1.8627
California,"Los Angeles County, CA",1349.03,,,
California,"Los Angeles County, CA",1349.04,84.6,81.7-97.5,2.9593
California,"Los Angeles County, CA",1349.05,82.5,81.7-97.5,3.5996
California,"Los Angeles County, CA",1351.02,82.6,81.7-97.5,1.5535
California,"Los Angeles County, CA",1351.11,79.3,77.6-79.5,1.5491
California,"Los Angeles County, CA",1351.13,80.4,79.6-81.6,1.2413
California,"Los Angeles County, CA",1351.14,86.2,81.7-97.5,3.6038
California,"Los Angeles County, CA",1352.01,83.8,81.7-97.5,1.3345
California,"Los Angeles County, CA",1352.02,80.2,79.6-81.6,1.2711
