State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Florida,"Miami-Dade County, FL",0084.14,85.6,81.7-97.5,3.5628
Florida,"Miami-Dade County, FL",0084.15,81.9,81.7-97.5,1.2882
Florida,"Miami-Dade County, FL",0084.16,76,75.2-77.5,1.1886
Florida,"Miami-Dade County, FL",0084.17,82.1,81.7-97.5,1.2809
Florida,"Miami-Dade County, FL",0084.18,,,
Florida,"Miami-Dade County, FL",0084.19,78.9,77.6-79.5,2.4726
Florida,"Miami-Dade County, FL",0085.01,85.4,81.7-97.5,1.8582
Florida,"Miami-Dade County, FL",0085.02,85.2,81.7-97.5,1.7728
Florida,"Miami-Dade County, FL",0086.01,79.5,77.6-79.5,1.68
Florida,"Miami-Dade County, FL",0086.02,84,81.7-97.5,1.7465
Florida,"Miami-Dade County, FL",0087.01,82.2,81.7-97.5,1.3309
Florida,"Miami-Dade County, FL",0087.02,,,
Florida,"Miami-Dade County, FL",0088.03,83.1,81.7-97.5,1.9753
Florida,"Miami-Dade County, FL",0088.04,80.6,79.6-81.6,1.0204
Florida,"Miami-Dade County, FL",0088.05,82.5,81.7-97.5,1.8018
Florida,"Miami-Dade County, FL",0088.06,79.9,79.6-81.6,1.2487
Florida,"Miami-Dade County, FL",0089.01,81.2,79.6-81.6,1.2005
Florida,"Miami-Dade County, FL",0089.02,80.8,79.6-81.6,1.0197
Florida,"Miami-Dade County, FL",0089.04,,,
Florida,"Miami-Dade County, FL",0089.06,82,81.7-97.5,1.5242
Florida,"Miami-Dade County, FL",0089.07,86.8,81.7-97.5,1.9318
Florida,"Miami-Dade County, FL",0090.06,85.4,81.7-97.5,1.7742
Florida,"Miami-Dade County, FL",0090.10,85.4,81.7-97.5,3.6535
Florida,"Miami-Dade County, FL",0090.14,79.2,77.6-79.5,1.5556
Florida,"Miami-Dade County, FL",0090.15,85.1,81.7-97.5,2.1681
Florida,"Miami-Dade County, FL",0090.17,81.9,81.7-97.5,1.7687
Florida,"Miami-Dade County, FL",0090.19,82.9,81.7-97.5,1.5251
Florida,"Miami-Dade County, FL",0090.20,84.5,81.7-97.5,2.9563
Florida,"Miami-Dade County, FL",0090.21,79.9,79.6-81.6,1.446
Florida,"Miami-Dade County, FL",0090.22,82.5,81.7-97.5,2.8565
Florida,"Miami-Dade County, FL",0090.23,84.5,81.7-97.5,1.8634
Florida,"Miami-Dade County, FL",0090.24,84.4,81.7-97.5,2.8544
Florida,"Miami-Dade County, FL",0090.26,82.9,81.7-97.5,1.9789
Florida,"Miami-Dade County, FL",0090.27,78.9,77.6-79.5,1.2644
Florida,"Miami-Dade County, FL",0090.28,85.8,81.7-97.5,2.7359
Florida,"Miami-Dade County, FL",0090.29,82.2,81.7-97.5,1.8713
Florida,"Miami-Dade County, FL",0090.30,80.4,79.6-81.6,0.913
Florida,"Miami-Dade County, FL",0090.31,81.5,79.6-81.6,1.9363
Florida,"Miami-Dade County, FL",0090.34,81.9,81.7-97.5,1.6646
Florida,"Miami-Dade County, FL",0090.35,,,
Florida,"Miami-Dade County, FL",0090.36,85.3,81.7-97.5,2.6874
Florida,"Miami-Dade County, FL",0090.38,82.1,81.7-97.5,2.3188
Florida,"Miami-Dade County, FL",0090.39,81.2,79.6-81.6,2.424
Florida,"Miami-Dade County, FL",0090.40,,,
